Webmapper code,Webmapper numeric code,ccode,country name,start year,end year,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
cshapes/1450,1450,28,Antigua and Barbuda,1981,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1535,1535,480,Mauritius,1968,2012,,,,,2490,2540,2528,2530,2587,2587,2594,2613,2610,2685,2777,3319,3249,3629,3283,3302,3108,3180,2907,3006,2945,3047,3309,3680,4020,3969,4551,4768,4863,4943,4367,4550,4738,4708,4882,5179,5658,6184,6550,6783,7208.001522,7596.858517,7865.468432,8286.792972,8553.069072,8758.675648,9115.298975,9552.836679,10018.44642,10437.04486,10593.35611,11232.36256,11501.41784,12182.59727,12640.62841,12957.61819,13297.16577,13740.81315,14529.24174,,
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1540,1540,642,Romania,1946,2012,,,816,,1182,1256,1333,1411,1496,1578,1623,1672,1724,1783,1844,1951,2007,2137,2258,2386,2643,2743,2739,2824,2853,3221,3396,3477,3637,3761,3917,3966,4063,4148,4135,4087,4072,4027,4178,4159,4215,4110,4085,3941,3510.766008,3065.413948,2802.636572,2851.971118,2971.034645,3192.36484,3330.904185,3141.089932,2998.606483,2971.429004,3046.9561,3224.56336,3395.812347,3583.425541,3897.636288,4068.761499,4398.4171,4685.649469,5040.325355,4719.353965,4652.637063
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1541,1541,512,Oman,1971,2012,,,,,623,650,677,707,736,766,799,831,866,900,935,923,1084,1103,1075,1053,1080,1749,3094,3782,3799,3716,3934,3279,3541,4267,4597,4390,4086,4044,4072,4523,4800,5346,5976,6545,6442,6712,6670,6708,6478.959035,6606.087395,6895.604166,7046.811418,7098.137923,7226.832177,7228.943324,7471.118834,7478.993431,7253.148652,7414.711071,7654.292957,7647.92474,7517.615155,7622.828091,7775.664985,8052.544358,8434.1099,9362.3468,9541.807974,9819.037486
cshapes/1468,1468,270,The Gambia,1965,2012,,,,,607,627,632,640,660,664,671,678,678,697,722,815,781,762,787,846,955,957,939,1007,879,949,985,997,1157,1050,1134,1152,1058,1191,1039,997,1088,926,871,770,783,797,849,875,877.5302737,862.9656811,866.781951,884.6935743,883.7729286,821.891359,841.0562929,851.2931645,851.1735878,875.7301844,894.812718,916.7083728,860.2203646,890.1135527,925.7848512,944.7766453,977.7261197,1010.448607,1042.948745,,
cshapes/1552,1552,798,Tuvalu,2000,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1447,1447,132,Cape Verde,1975,2012,,,,,450,455,461,467,460,463,469,453,449,486,508,525,539,553,564,575,585,594,602,611,619,566,536,529,512,525,520,518,567,622,841,904,917,990,1011,1081,1094,1151,1166,1208,1233.4453,1186.112622,1143.740169,1183.688146,1241.989436,1319.26819,1387.57753,1475.659347,1565.048771,1680.981008,1775.606209,1864.535112,1940.632294,2014.047436,2084.966597,2203.721257,2426.062025,2598.993862,2735.37581,,
cshapes/1555,1555,4,Afghanistan,1946,2012,,,,,645,653,664,692,694,695,713,699,723,729,739,730,726,723,720,720,710,712,719,713,709,659,630,684,703,721,737,669,704,689,690,764,833,863,847,819,878,726,656,640,604,601,553,476,426,512,526,541,556,571,565,507,619,668,685,758,790,863,869,,
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cshapes/1496,1496,70,Bosnia and Herzegovina,1992,2012,,,,,,,1187.856839,1178.037023,1159.200096,1420.534147,1211.771245,1389.13455,1432.742628,1672.969377,1801.1851,1834.812756,1798.500039,1991.202996,2175.816832,2239.034401,2390.414239,2335.770865,2414.972925,2592.369752,2666.959974,2817.425176,2923.536197,3012.284719,3206.872644,3292.275866,3304.51362,3542.788228,3750.430366,3999.882045,4133.470846,4241.875366,4291.975883,4248.535522,4292.515961,4313.008762,4433.06455,4319.761815,4183.250391,4210.321201,3696.64944,,,,915.9669593,1144.779939,2140.116401,2825.125259,3163.339444,3354.970315,3452.215831,3548.746307,3703.910109,3836.192613,4061.43039,4253.776301,4496.175051,5041.035959,5348.539152,5193.611515,5233.028115
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
