"","country","year","gdp","growth"
"446","Bulgaria",2008,10900,0.0900000000000001
"447","Czech Republic",2008,20200,-0.0194174757281553
"448","Denmark",2008,31100,0.0163398692810457
"449","Germany",2008,29000,0.00694444444444442
"450","Estonia",2008,17200,-0.0171428571428571
"451","Ireland",2008,32900,-0.0986301369863014
"452","Greece",2008,23200,0.0265486725663717
"453","Spain",2008,25900,-0.0114503816793893
"454","France",2008,26700,-0.00743494423791824
"455","Croatia",2008,16200,0.0384615384615385
"456","Italy",2008,26000,0
"457","Cyprus",2008,24800,0.0553191489361702
"458","Latvia",2008,14600,0.020979020979021
"459","Lithuania",2008,16100,0.0387096774193549
"460","Luxembourg",2008,65800,-0.0380116959064327
"461","Hungary",2008,15900,0.0392156862745099
"462","Malta",2008,20300,0.0357142857142858
"463","Netherlands",2008,33500,0.0151515151515151
"464","Austria",2008,31100,0.00647249190938504
"465","Poland",2008,14100,0.036764705882353
"466","Portugal",2008,19500,-0.00510204081632648
"467","Romania",2008,12200,0.14018691588785
"468","Slovenia",2008,22700,0.0271493212669682
"469","Slovakia",2008,18100,0.0710059171597632
"470","Finland",2008,29700,0.0136518771331058
"471","Sweden",2008,30900,-0.00961538461538458
"472","United Kingdom",2008,28600,-0.0272108843537415
"473","Iceland",2008,30800,0.0232558139534884
"474","Liechtenstein",2008,NA,NA
"475","Norway",2008,47900,0.0573951434878588
"476","Switzerland",2008,37100,0.0334261838440111
"477","Former Yugoslav Republic of Macedonia",2008,8400,0.0909090909090908
"478","Serbia",2008,9000,0.0975609756097562
"479","Turkey",2008,11700,0.0353982300884956
"480","United States",2008,37700,-0.0308483290488432
"481","Japan",2008,26200,-0.033210332103321
"482","Belgium",2009,27600,-0.0449826989619377
"483","Bulgaria",2009,10300,-0.055045871559633
"484","Czech Republic",2009,19400,-0.0396039603960396
"485","Denmark",2009,28900,-0.0707395498392283
"486","Germany",2009,26900,-0.0724137931034483
"487","Estonia",2009,14900,-0.133720930232558
"488","Ireland",2009,30100,-0.0851063829787234
"489","Greece",2009,22300,-0.0387931034482759
"490","Spain",2009,24200,-0.0656370656370656
"491","France",2009,25500,-0.0449438202247191
"492","Croatia",2009,14900,-0.0802469135802469
"493","Italy",2009,24300,-0.0653846153846154
"494","Cyprus",2009,23400,-0.0564516129032258
"495","Latvia",2009,12700,-0.13013698630137
"496","Lithuania",2009,13600,-0.15527950310559
"497","Luxembourg",2009,59200,-0.100303951367781
"498","Hungary",2009,15300,-0.0377358490566038
"499","Malta",2009,19800,-0.0246305418719212
"500","Netherlands",2009,31000,-0.0746268656716418
"501","Austria",2009,29500,-0.0514469453376206
"502","Poland",2009,14200,0.00709219858156018
"503","Portugal",2009,18800,-0.0358974358974359
"504","Romania",2009,11700,-0.0409836065573771
"505","Slovenia",2009,20200,-0.110132158590308
"506","Slovakia",2009,17000,-0.0607734806629834
"507","Finland",2009,26900,-0.0942760942760943
"508","Sweden",2009,28200,-0.087378640776699
"509","United Kingdom",2009,26300,-0.0804195804195804
"510","Iceland",2009,28200,-0.0844155844155844
"511","Liechtenstein",2009,NA,NA
"512","Norway",2009,41400,-0.135699373695198
"513","Switzerland",2009,35200,-0.0512129380053908
"514","Former Yugoslav Republic of Macedonia",2009,8500,0.0119047619047619
"515","Serbia",2009,8400,-0.0666666666666667
"516","Turkey",2009,10900,-0.0683760683760684
"517","United States",2009,35100,-0.0689655172413793
"518","Japan",2009,24000,-0.083969465648855
"519","Belgium",2010,29400,0.0652173913043479
"520","Bulgaria",2010,10800,0.0485436893203883
"521","Czech Republic",2010,19700,0.0154639175257731
"522","Denmark",2010,31200,0.0795847750865053
"523","Germany",2010,29200,0.0855018587360594
"524","Estonia",2010,15800,0.0604026845637584
"525","Ireland",2010,31400,0.0431893687707641
"526","Greece",2010,21600,-0.031390134529148
"527","Spain",2010,24200,0
"528","France",2010,26600,0.0431372549019609
"529","Croatia",2010,14700,-0.0134228187919463
"530","Italy",2010,25100,0.0329218106995885
"531","Cyprus",2010,23600,0.00854700854700852
"532","Latvia",2010,13500,0.0629921259842521
"533","Lithuania",2010,15100,0.110294117647059
"534","Luxembourg",2010,64000,0.0810810810810811
"535","Hungary",2010,16100,0.0522875816993464
"536","Malta",2010,21300,0.0757575757575757
"537","Netherlands",2010,31700,0.0225806451612902
"538","Austria",2010,30900,0.047457627118644
"539","Poland",2010,15400,0.0845070422535212
"540","Portugal",2010,19600,0.0425531914893618
"541","Romania",2010,12400,0.0598290598290598
"542","Slovenia",2010,20600,0.0198019801980198
"543","Slovakia",2010,18100,0.0647058823529412
"544","Finland",2010,27900,0.037174721189591
"545","Sweden",2010,30200,0.0709219858156029
"546","United Kingdom",2010,26300,0
"547","Iceland",2010,27900,-0.0106382978723404
"548","Liechtenstein",2010,NA,NA
"549","Norway",2010,44000,0.0628019323671498
"550","Switzerland",2010,37200,0.0568181818181819
"551","Former Yugoslav Republic of Macedonia",2010,8900,0.0470588235294118
"552","Serbia",2010,8500,0.0119047619047619
"553","Turkey",2010,12200,0.119266055045872
"554","United States",2010,36800,0.0484330484330484
"555","Japan",2010,25700,0.0708333333333333
"556","Belgium",2011,30200,0.0272108843537415
"557","Bulgaria",2011,11700,0.0833333333333333
"558","Czech Republic",2011,20300,0.0304568527918783
"559","Denmark",2011,31500,0.00961538461538458
"560","Germany",2011,30800,0.0547945205479452
"561","Estonia",2011,17300,0.0949367088607596
"562","Ireland",2011,32300,0.0286624203821657
"563","Greece",2011,20300,-0.0601851851851852
"564","Spain",2011,24300,0.00413223140495877
"565","France",2011,27400,0.0300751879699248
"566","Croatia",2011,15200,0.0340136054421769
"567","Italy",2011,25500,0.0159362549800797
"568","Cyprus",2011,23500,-0.00423728813559321
"569","Latvia",2011,15000,0.111111111111111
"570","Lithuania",2011,16900,0.119205298013245
"571","Luxembourg",2011,66700,0.0421875
"572","Hungary",2011,16900,0.0496894409937889
"573","Malta",2011,21600,0.0140845070422535
"574","Netherlands",2011,32500,0.025236593059937
"575","Austria",2011,32300,0.0453074433656957
"576","Poland",2011,16400,0.0649350649350648
"577","Portugal",2011,19300,-0.0153061224489796
"578","Romania",2011,12900,0.0403225806451613
"579","Slovenia",2011,21200,0.029126213592233
"580","Slovakia",2011,18900,0.0441988950276244
"581","Finland",2011,29100,0.043010752688172
"582","Sweden",2011,31400,0.0397350993377483
"583","United Kingdom",2011,26400,0.00380228136882121
"584","Iceland",2011,28700,0.0286738351254481
"585","Liechtenstein",2011,NA,NA
"586","Norway",2011,46600,0.0590909090909091
"587","Switzerland",2011,38800,0.043010752688172
"588","Former Yugoslav Republic of Macedonia",2011,9000,0.0112359550561798
"589","Serbia",2011,8900,0.0470588235294118
"590","Turkey",2011,13400,0.098360655737705
"591","United States",2011,37400,0.0163043478260869
"592","Japan",2011,25800,0.00389105058365757
"593","Belgium",2012,30700,0.0165562913907285
"594","Bulgaria",2012,12100,0.0341880341880343
"595","Czech Republic",2012,20700,0.0197044334975369
"596","Denmark",2012,32100,0.019047619047619
"597","Germany",2012,31500,0.0227272727272727
"598","Estonia",2012,18300,0.0578034682080926
"599","Ireland",2012,32900,0.0185758513931888
"600","Greece",2012,19500,-0.0394088669950738
"601","Spain",2012,24400,0.00411522633744865
"602","France",2012,27700,0.0109489051094891
"603","Croatia",2012,15600,0.0263157894736843
"604","Italy",2012,25600,0.00392156862745097
"605","Cyprus",2012,23400,-0.00425531914893618
"606","Latvia",2012,16400,0.0933333333333333
"607","Lithuania",2012,18300,0.0828402366863905
"608","Luxembourg",2012,67100,0.00599700149925031
"609","Hungary",2012,17000,0.00591715976331364
"610","Malta",2012,22100,0.0231481481481481
"611","Netherlands",2012,32500,0
"612","Austria",2012,33100,0.0247678018575852
